127.0.0.1 - - [07/Mar/2019:09:52:34 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:52:34 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:52:34 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:52:34 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:52:34 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:09:52:34 +0800] "GET /manager/text/reload?path=/javaee HTTP/1.1" 200 64
127.0.0.1 - - [07/Mar/2019:09:52:34 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:52:34 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:52:38 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:52:38 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:52:38 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:52:38 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:52:38 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:52:38 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:52:38 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:52:38 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:52:39 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:09:52:39 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:09:52:39 +0800] "GET /manager/text/reload?path=/javaee HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [07/Mar/2019:09:52:39 +0800] "GET /javaee/student HTTP/1.1" 500 1575
127.0.0.1 - - [07/Mar/2019:09:53:08 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:53:08 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:53:08 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:53:08 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:53:08 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:53:08 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:53:08 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:53:08 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:53:08 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:09:53:08 +0800] "GET /manager/text/list HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [07/Mar/2019:09:53:08 +0800] "GET /javaee/student?id=4 HTTP/1.1" 200 249
127.0.0.1 - - [07/Mar/2019:09:58:26 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:58:26 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:58:26 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:58:26 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:58:26 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:58:26 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:58:26 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:58:26 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:58:26 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:09:58:26 +0800] "GET /manager/text/list HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [07/Mar/2019:09:58:26 +0800] "GET /javaee/student_details.jsp HTTP/1.1" 500 2740
127.0.0.1 - - [07/Mar/2019:09:59:07 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:59:07 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:59:07 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:59:07 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:09:59:07 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:59:07 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:09:59:07 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - - [07/Mar/2019:09:59:07 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:09:59:07 +0800] "GET /manager/text/ HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [07/Mar/2019:09:59:10 +0800] "GET /javaee/student?id=4 HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [07/Mar/2019:09:59:10 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [07/Mar/2019:10:02:44 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:02:44 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:02:44 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:02:44 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:02:44 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:02:44 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:10:02:44 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:10:02:44 +0800] "GET /manager/text/reload?path=/javaee HTTP/1.1" 200 64
127.0.0.1 - - [07/Mar/2019:10:02:44 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:02:44 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:02:47 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:02:47 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:02:47 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:02:47 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:02:47 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:02:47 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:10:02:47 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - - [07/Mar/2019:10:02:47 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:02:47 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:02:51 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:02:51 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:02:51 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:02:51 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [07/Mar/2019:10:02:51 +0800] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [07/Mar/2019:10:02:51 +0800] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - root [07/Mar/2019:10:02:51 +0800] "GET /manager/text/list HTTP/1.1" 200 280
127.0.0.1 - root [07/Mar/2019:10:02:51 +0800] "GET /manager/text/reload?path=/javaee HTTP/1.1" 200 64
